
ZONETOLLRATE,ODPAIRNAME                                        ,  ODPAIRID,STARTZONENAME                                     ,STARTZONEID,INTERVALENDDATETI,CURRENTDATETIME  ,ENDZONENAME                                       , ENDZONEID,CORRIDORN,CORRIDORID                                                                      ,CALULCATEDDATETIM,LINKSTATUS          
------------,--------------------------------------------------,----------,--------------------------------------------------,-----------,-----------------,-----------------,--------------------------------------------------,----------,---------,--------------------------------------------------------------------------------,-----------------.--------------------
       16.15,WESTPARK (B) TO I-495 N                           ,      1000,NB 495 TP Before Jones Branch (TP8NB)             ,     495008,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Past Route 267(TP9NB)                   ,    495009,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        2.40,I-395-95 HOV TO I-395-95-495                      ,      1001,NB 495 TP Past 95/395 (TP1NB)                     ,     495001,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Past 95/395 (TP1NB)                     ,    495001,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
       10.30,I-395-95 HOV TO LEE HWY                           ,      1002,NB 495 TP Past 95/395 (TP1NB)                     ,     495001,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Past Route 50 (TP4NB)                   ,    495004,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
       13.30,I-395-95 HOV TO I-66                              ,      1003,NB 495 TP Past 95/395 (TP1NB)                     ,     495001,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Past Lee Highway (TP5NB)                ,    495005,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
       15.35,I-395-95 HOV TO ROUTE 7                           ,      1004,NB 495 TP Past 95/395 (TP1NB)                     ,     495001,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Past 66 (TP6NB)                         ,    495006,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
       16.45,I-395-95 HOV TO WESTPARK                          ,      1005,NB 495 TP Past 95/395 (TP1NB)                     ,     495001,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Before Leesburg Pike (TP7NB)            ,    495007,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
       18.00,I-395-95 HOV TO JONES BR                          ,      1006,NB 495 TP Past 95/395 (TP1NB)                     ,     495001,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Before Jones Branch (TP8NB)             ,    495008,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
       19.60,I-395-95 HOV TO RT 267                            ,      1007,NB 495 TP Past 95/395 (TP1NB)                     ,     495001,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Before Jones Branch (TP8NB)             ,    495008,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
       32.60,I-395-95 HOV TO I-495 N                           ,      1008,NB 495 TP Past 95/395 (TP1NB)                     ,     495001,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Past Route 267(TP9NB)                   ,    495009,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        7.85,I-395-95-495 TO LEE HWY                           ,      1009,NB 495 TP Before Braddock (TP2NB)                 ,     495002,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Past Route 50 (TP4NB)                   ,    495004,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
       10.85,I-395-95-495 TO I-66                              ,      1010,NB 495 TP Before Braddock (TP2NB)                 ,     495002,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Past Lee Highway (TP5NB)                ,    495005,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
